2025-07-16 14:41:35 | INFO     | expendio | 🚀 Sistema de logging iniciado
2025-07-16 14:41:36 | INFO     | expendio | 🚀 Sistema de logging iniciado
2025-07-16 14:41:37 | INFO     | expendio | 🚀 Iniciando aplicación Expendio Personal
2025-07-16 14:41:37 | INFO     | expendio | 🏗️ MainApp inicializada con AppBar y vistas modulares
2025-07-16 14:41:37 | INFO     | expendio | 🔧 Configurando bindings para View State Preservation Pattern
2025-07-16 14:41:37 | INFO     | expendio | ✅ Aplicación completamente inicializada
2025-07-16 14:41:37 | INFO     | expendio | 🚀 Iniciando simulación con intervalo de 5 segundos
2025-07-16 14:41:37 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $5.88 @ 14:41:37
2025-07-16 14:41:42 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $2.15 @ 14:41:42
2025-07-16 14:41:47 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $5.76 @ 14:41:47
2025-07-16 14:41:52 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $13.65 @ 14:41:52
2025-07-16 14:41:57 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $15.11 @ 14:41:57
2025-07-16 14:42:02 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $13.33 @ 14:42:02
2025-07-16 14:42:07 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $9.52 @ 14:42:07
2025-07-16 14:42:12 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $8.51 @ 14:42:12
2025-07-16 14:42:17 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $3.75 @ 14:42:17
2025-07-16 14:42:22 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $11.08 @ 14:42:22
2025-07-16 14:42:27 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $11.42 @ 14:42:27
2025-07-16 14:42:32 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $3.14 @ 14:42:32
2025-07-16 14:42:37 | INFO     | expendio | 💰 Nueva venta: 🧃 Jugo - $10.67 @ 14:42:37
2025-07-16 14:42:42 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $5.84 @ 14:42:42
2025-07-16 14:42:47 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $4.17 @ 14:42:47
2025-07-16 14:42:52 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $12.13 @ 14:42:52
2025-07-16 14:42:57 | INFO     | expendio | 💰 Nueva venta: 🧃 Jugo - $13.04 @ 14:42:57
2025-07-16 14:43:02 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $5.31 @ 14:43:02
2025-07-16 14:43:07 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $8.41 @ 14:43:07
2025-07-16 14:43:12 | INFO     | expendio | 💰 Nueva venta: 🧃 Jugo - $7.17 @ 14:43:12
2025-07-16 14:43:17 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $2.73 @ 14:43:17
2025-07-16 14:43:22 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $13.25 @ 14:43:22
2025-07-16 14:43:27 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $5.42 @ 14:43:27
2025-07-16 14:43:32 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $3.97 @ 14:43:32
2025-07-16 14:43:46 | INFO     | expendio | 🚀 Sistema de logging iniciado
2025-07-16 14:43:46 | INFO     | expendio | 🚀 Sistema de logging iniciado
2025-07-16 14:43:48 | INFO     | expendio | 🚀 Iniciando aplicación Expendio Personal
2025-07-16 14:43:48 | INFO     | expendio | 🏗️ MainApp inicializada con AppBar y vistas modulares
2025-07-16 14:43:48 | INFO     | expendio | 🔧 Configurando bindings para View State Preservation Pattern
2025-07-16 14:43:48 | INFO     | expendio | ✅ Aplicación completamente inicializada
2025-07-16 14:43:48 | INFO     | expendio | 🚀 Iniciando simulación con intervalo de 5 segundos
2025-07-16 14:43:48 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $9.06 @ 14:43:48
2025-07-16 14:43:53 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $8.47 @ 14:43:53
2025-07-16 14:43:58 | INFO     | expendio | 💰 Nueva venta: 🧃 Jugo - $2.47 @ 14:43:58
2025-07-16 14:44:03 | INFO     | expendio | 💰 Nueva venta: 🧃 Jugo - $6.55 @ 14:44:03
2025-07-16 14:44:08 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $5.66 @ 14:44:08
2025-07-16 14:44:13 | INFO     | expendio | 💰 Nueva venta: 🧃 Jugo - $3.79 @ 14:44:13
2025-07-16 14:44:18 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $13.89 @ 14:44:18
2025-07-16 14:44:23 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $2.07 @ 14:44:23
2025-07-16 14:44:28 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $1.69 @ 14:44:28
2025-07-16 14:44:33 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $9.13 @ 14:44:33
2025-07-16 14:44:50 | INFO     | expendio | 🚀 Sistema de logging iniciado
2025-07-16 14:44:50 | INFO     | expendio | 🚀 Sistema de logging iniciado
2025-07-16 14:44:51 | INFO     | expendio | 🚀 Iniciando aplicación Expendio Personal
2025-07-16 14:44:51 | INFO     | expendio | 🏗️ MainApp inicializada con AppBar y vistas modulares
2025-07-16 14:44:51 | INFO     | expendio | 🔧 Configurando bindings para View State Preservation Pattern
2025-07-16 14:44:51 | INFO     | expendio | ✅ Aplicación completamente inicializada
2025-07-16 14:44:51 | INFO     | expendio | 🚀 Iniciando simulación con intervalo de 5 segundos
2025-07-16 14:44:51 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $10.53 @ 14:44:51
2025-07-16 14:45:55 | INFO     | expendio | 🚀 Sistema de logging iniciado
2025-07-16 14:45:55 | INFO     | expendio | 🚀 Sistema de logging iniciado
2025-07-16 14:45:56 | INFO     | expendio | 🚀 Iniciando aplicación Expendio Personal
2025-07-16 14:45:56 | INFO     | expendio | 🏗️ MainApp inicializada con AppBar y vistas modulares
2025-07-16 14:45:56 | INFO     | expendio | 🔧 Configurando bindings para View State Preservation Pattern
2025-07-16 14:45:56 | INFO     | expendio | ✅ Aplicación completamente inicializada
2025-07-16 14:45:56 | INFO     | expendio | 🚀 Iniciando simulación con intervalo de 5 segundos
2025-07-16 14:45:56 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $10.47 @ 14:45:56
2025-07-16 14:46:01 | INFO     | expendio | 💰 Nueva venta: 🧃 Jugo - $8.23 @ 14:46:01
2025-07-16 14:46:06 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $13.24 @ 14:46:06
2025-07-16 14:46:11 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $15.12 @ 14:46:11
2025-07-16 14:46:16 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $6.42 @ 14:46:16
2025-07-16 14:46:21 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $8.50 @ 14:46:21
2025-07-16 14:46:26 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $11.26 @ 14:46:26
2025-07-16 14:46:31 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $11.57 @ 14:46:31
2025-07-16 14:46:36 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $5.63 @ 14:46:36
2025-07-16 14:46:41 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $1.96 @ 14:46:41
2025-07-16 14:46:46 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $3.47 @ 14:46:46
2025-07-16 14:46:51 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $10.41 @ 14:46:51
2025-07-16 14:46:56 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $7.68 @ 14:46:56
2025-07-16 14:47:01 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $11.89 @ 14:47:01
2025-07-16 14:47:06 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $2.74 @ 14:47:06
2025-07-16 14:47:11 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $3.02 @ 14:47:11
2025-07-16 14:47:16 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $4.58 @ 14:47:16
2025-07-16 14:47:21 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $1.61 @ 14:47:21
2025-07-16 14:47:27 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $7.80 @ 14:47:27
2025-07-16 14:47:32 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $1.63 @ 14:47:32
2025-07-16 14:47:37 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $14.24 @ 14:47:37
2025-07-16 14:47:42 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $8.01 @ 14:47:42
2025-07-16 14:47:47 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $5.15 @ 14:47:47
2025-07-16 14:47:52 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $10.97 @ 14:47:52
2025-07-16 14:47:57 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $3.46 @ 14:47:57
2025-07-16 14:48:02 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $12.04 @ 14:48:02
2025-07-16 14:48:07 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $10.39 @ 14:48:07
2025-07-16 14:48:12 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $11.04 @ 14:48:12
2025-07-16 14:48:17 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $11.06 @ 14:48:17
2025-07-16 14:48:22 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $2.38 @ 14:48:22
2025-07-16 14:48:27 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $6.90 @ 14:48:27
2025-07-16 14:48:32 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $12.75 @ 14:48:32
2025-07-16 14:48:37 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $7.44 @ 14:48:37
2025-07-16 14:48:42 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $13.96 @ 14:48:42
2025-07-16 14:48:47 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $8.61 @ 14:48:47
2025-07-16 14:48:52 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $3.34 @ 14:48:52
2025-07-16 14:48:57 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $6.79 @ 14:48:57
2025-07-16 14:49:02 | INFO     | expendio | 💰 Nueva venta: 🧃 Jugo - $11.33 @ 14:49:02
2025-07-16 14:49:07 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $10.82 @ 14:49:07
2025-07-16 14:49:12 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $5.01 @ 14:49:12
2025-07-16 14:49:17 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $2.35 @ 14:49:17
2025-07-16 14:49:22 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $10.77 @ 14:49:22
2025-07-16 14:49:27 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $7.78 @ 14:49:27
2025-07-16 14:49:32 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $11.08 @ 14:49:32
2025-07-16 14:49:37 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $11.52 @ 14:49:37
2025-07-16 14:49:42 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $12.13 @ 14:49:42
2025-07-16 14:49:47 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $9.90 @ 14:49:47
2025-07-16 14:49:52 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $14.61 @ 14:49:52
2025-07-16 14:49:57 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $7.45 @ 14:49:57
2025-07-16 14:50:02 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $4.35 @ 14:50:02
2025-07-16 14:50:07 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $8.01 @ 14:50:07
2025-07-16 14:50:12 | INFO     | expendio | 💰 Nueva venta: 🧃 Jugo - $13.28 @ 14:50:12
2025-07-16 14:50:17 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $13.74 @ 14:50:17
2025-07-16 14:50:22 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $2.35 @ 14:50:22
2025-07-16 14:50:27 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $8.06 @ 14:50:27
2025-07-16 14:50:32 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $8.74 @ 14:50:32
2025-07-16 14:50:37 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $2.65 @ 14:50:37
2025-07-16 14:50:42 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $15.54 @ 14:50:42
2025-07-16 14:50:47 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $15.96 @ 14:50:47
2025-07-16 14:50:52 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $9.08 @ 14:50:52
2025-07-16 14:50:57 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $1.77 @ 14:50:57
2025-07-16 14:51:02 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $10.10 @ 14:51:02
2025-07-16 14:51:07 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $14.33 @ 14:51:07
2025-07-16 14:51:13 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $7.12 @ 14:51:13
2025-07-16 14:51:18 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $12.60 @ 14:51:18
2025-07-16 14:51:23 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $5.66 @ 14:51:23
2025-07-16 14:51:28 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $12.03 @ 14:51:28
2025-07-16 14:51:33 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $7.78 @ 14:51:33
2025-07-16 14:51:38 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $4.81 @ 14:51:38
2025-07-16 14:51:43 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $2.38 @ 14:51:43
2025-07-16 14:51:48 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $6.31 @ 14:51:48
2025-07-16 14:51:53 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $2.23 @ 14:51:53
2025-07-16 14:51:58 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $15.20 @ 14:51:58
2025-07-16 14:52:03 | INFO     | expendio | 💰 Nueva venta: 🧃 Jugo - $11.47 @ 14:52:03
2025-07-16 14:52:08 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $15.18 @ 14:52:08
2025-07-16 14:52:13 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $1.66 @ 14:52:13
2025-07-16 14:52:18 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $4.94 @ 14:52:18
2025-07-16 14:52:23 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $13.96 @ 14:52:23
2025-07-16 14:52:28 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $11.93 @ 14:52:28
2025-07-16 14:52:33 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $14.59 @ 14:52:33
2025-07-16 14:52:38 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $3.24 @ 14:52:38
2025-07-16 14:52:43 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $11.25 @ 14:52:43
2025-07-16 14:52:48 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $5.54 @ 14:52:48
2025-07-16 14:52:53 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $8.53 @ 14:52:53
2025-07-16 14:52:58 | INFO     | expendio | 💰 Nueva venta: 🍌 Banana - $13.02 @ 14:52:58
2025-07-16 14:53:03 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $14.86 @ 14:53:03
2025-07-16 14:53:08 | INFO     | expendio | 💰 Nueva venta: 🧃 Jugo - $12.06 @ 14:53:08
2025-07-16 14:53:13 | INFO     | expendio | 💰 Nueva venta: 🥣 Cereal - $14.80 @ 14:53:13
2025-07-16 14:53:18 | INFO     | expendio | 💰 Nueva venta: 🍎 Manzana - $9.52 @ 14:53:18
2025-07-16 14:53:23 | INFO     | expendio | 💰 Nueva venta: 🧃 Jugo - $1.87 @ 14:53:23
2025-07-16 14:53:28 | INFO     | expendio | 💰 Nueva venta: 🥛 Leche - $5.45 @ 14:53:28
2025-07-16 14:53:33 | INFO     | expendio | 💰 Nueva venta: 🧀 Queso - $8.23 @ 14:53:33
2025-07-16 14:53:38 | INFO     | expendio | 💰 Nueva venta: 🍞 Pan - $10.91 @ 14:53:38
